Black Body Radiation Experiment Tue, Oct 30, 2018 3:07 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.56099
0.00000	-0.56469
0.00000	-0.55954
0.00000	-0.56485
0.00000	-0.58127
0.00000	-0.57531
0.00000	-0.57387
0.00000	-0.53008
0.00000	-0.55664
0.00000	-0.57193
0.00000	-0.55954
0.00000	-0.56212
0.00000	-0.54489
0.00000	-0.58143
0.00000	-0.56067
0.00000	-0.55358
0.00000	-0.56002
0.00000	-0.57515
0.00000	-0.54361
0.00000	-0.55198
0.00000	-0.56228
0.00000	-0.57419
0.00000	-0.55938
0.00000	-0.56179
0.00000	-0.55584
0.00000	-0.56083
0.00000	-0.55326
0.00000	-0.55841
0.00000	-0.57000
0.00000	-0.56582
0.00000	-0.54811
0.00000	-0.54972
0.00000	-0.56485
0.00000	-0.55230
0.00000	-0.53894
0.00000	-0.56083
0.00000	-0.56163
0.00000	-0.57193
0.01035	-0.55053
0.01035	-0.56533
0.01035	-0.56662
0.01035	-0.57306
0.01035	-0.57644
0.01035	-0.55809
0.01035	-0.55713
0.01035	-0.55809
0.01035	-0.56550
0.01035	-0.57129
0.01035	-0.54505
0.01035	-0.54924
0.01035	-0.57032
0.01035	-0.56646
0.01035	-0.56147
0.01035	-0.55874
0.01035	-0.55407
0.01035	-0.56952
0.01035	-0.55326
0.01035	-0.54264
0.01035	-0.56389
0.01035	-0.55954
0.01035	-0.55761
0.01035	-0.54602
0.02070	-0.54860
0.02070	-0.58433
0.02070	-0.55954
0.02070	-0.55729
0.02070	-0.56550
0.03104	-0.55101
0.03104	-0.55246
0.03104	-0.56099
0.03104	-0.56727
0.03104	-0.54377
0.04139	-0.54634
0.04139	-0.56437
0.04139	-0.56888
0.04139	-0.57129
0.04139	-0.55857
0.04139	-0.57210
0.04139	-0.54409
0.04139	-0.57644
0.04139	-0.55857
0.04139	-0.54715
0.04139	-0.54554
0.04139	-0.56292
0.04139	-0.57338
0.04139	-0.55713
0.04139	-0.55407
0.04139	-0.56099
0.04139	-0.56067
0.04139	-0.55439
0.04139	-0.54972
0.04139	-0.56292
0.03104	-0.56308
0.03104	-0.55922
0.03104	-0.54940
0.03104	-0.54924
0.03104	-0.55922
0.03104	-0.54344
0.03104	-0.54682
0.03104	-0.55358
0.03104	-0.56469
0.03104	-0.54972
0.03104	-0.54409
0.03104	-0.54393
0.03104	-0.56872
0.03104	-0.55053
0.03104	-0.54216
0.03104	-0.55117
0.03104	-0.55342
0.03104	-0.55471
0.03104	-0.54860
0.03104	-0.53749
0.03104	-0.54393
0.03104	-0.55117
