Black Body Radiation Experiment Tue, Oct 30, 2018 3:34 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	0.26763
0.00000	0.29740
0.00000	0.27213
0.00000	0.28066
0.00000	0.30674
0.00000	0.28469
0.00000	0.28630
0.00000	0.26409
0.00000	0.29290
0.00000	0.28630
0.00000	0.28726
0.00000	0.27616
0.00000	0.26827
0.00000	0.27970
0.00000	0.29048
0.00000	0.28243
0.00000	0.27857
0.00000	0.27342
0.00000	0.28662
0.00000	0.28582
0.00000	0.27374
0.00000	0.26843
0.00000	0.27567
0.00000	0.28549
0.00000	0.26376
0.00000	0.27036
0.00000	0.26634
0.00000	0.26763
0.00000	0.29032
0.01035	0.27986
0.01035	0.25073
0.01035	0.26956
0.01035	0.26183
0.01035	0.27712
0.01035	0.27503
0.01035	0.27535
0.02070	0.26006
0.02070	0.26087
0.02070	0.27407
0.02070	0.27954
0.02070	0.28662
0.02070	0.27149
0.03104	0.26248
0.03104	0.27229
0.03104	0.27197
0.03104	0.29306
0.04139	0.26714
0.04139	0.26376
0.04139	0.25716
0.05174	0.27020
0.05174	0.28726
0.06209	0.26618
0.07244	0.26199
0.08279	0.26167
0.09313	0.25604
0.11383	0.26972
0.14487	0.26891
0.19662	0.25475
0.27940	0.26006
0.36219	0.26553
0.45532	0.26779
0.56915	0.28308
0.66228	0.26328
0.76577	0.26505
0.84855	0.27374
0.92099	0.25958
0.97273	0.27905
1.00378	0.26392
1.02447	0.27052
1.03482	0.26779
1.04517	0.27213
1.05552	0.25797
1.07621	0.26103
1.09691	0.27680
1.12795	0.26650
1.15900	0.26682
1.20039	0.27004
1.26248	0.26087
1.32457	0.26151
1.40735	0.26827
1.49014	0.28083
1.58327	0.26248
1.68676	0.26521
1.81093	0.26891
1.93511	0.26891
2.02825	0.26795
2.10068	0.25749
2.17312	0.27696
2.24556	0.26441
2.25591	0.27133
2.31800	0.26296
2.39043	0.28147
2.45252	0.26988
2.49392	0.26891
2.53531	0.27648
2.56635	0.27294
2.59740	0.26360
2.63879	0.25974
2.69053	0.24590
2.74227	0.24928
2.81471	0.26135
2.87680	0.28404
2.93889	0.27326
3.01133	0.25459
3.08376	0.24509
3.15620	0.24944
3.23899	0.24509
3.32177	0.24912
3.39421	0.25395
3.46665	0.25024
3.54943	0.23222
3.61152	0.23656
3.69431	0.25314
3.75640	0.26618
3.81848	0.25668
3.88057	0.25604
3.95301	0.26473
4.00475	0.25346
4.06684	0.26344
4.13928	0.24992
4.20137	0.25797
4.26346	0.25958
4.33589	0.25459
4.40833	0.25813
4.49112	0.25877
4.57390	0.25443
4.65669	0.25346
4.72913	0.26908
4.79121	0.26344
4.85330	0.27262
4.92574	0.26248
4.98783	0.25620
5.04992	0.25555
5.12236	0.26586
5.19479	0.25652
5.27758	0.25636
5.36037	0.24944
5.44315	0.26119
5.53628	0.25765
5.61907	0.25765
5.71220	0.26618
5.79499	0.24702
5.89847	0.24622
6.01230	0.25443
6.13648	0.25765
6.27101	0.24831
6.40553	0.26280
6.52971	0.25459
6.64354	0.26248
6.73668	0.25362
6.82981	0.26441
6.92294	0.26312
6.99538	0.27551
7.06782	0.25974
7.14026	0.26409
7.22304	0.27278
7.30583	0.27728
7.38861	0.27165
7.46105	0.27954
7.54383	0.27326
7.61627	0.26392
7.68871	0.26505
7.76115	0.26328
7.84393	0.26682
7.90602	0.26473
7.97846	0.26618
