Black Body Radiation Experiment Tue, Oct 30, 2018 3:15 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	0.25040
0.00000	0.26570
0.00000	0.27954
0.00000	0.26344
0.00000	0.26875
0.00000	0.27068
0.00000	0.24879
0.00000	0.24879
0.00000	0.25910
0.00000	0.27101
0.00000	0.27229
0.00000	0.26280
0.00000	0.27229
0.00000	0.24590
0.00000	0.25749
0.00000	0.26006
0.01035	0.25733
0.01035	0.26650
0.01035	0.25990
0.01035	0.24815
0.02070	0.25330
0.02070	0.26022
0.02070	0.26264
0.02070	0.24525
0.03104	0.24574
0.03104	0.26022
0.03104	0.26103
0.04139	0.25475
0.04139	0.24187
0.04139	0.27938
0.05174	0.26618
0.05174	0.25926
0.06209	0.26022
0.06209	0.24960
0.07244	0.25024
0.08279	0.26006
0.10348	0.27052
0.13453	0.26891
0.17592	0.26682
0.24836	0.26714
0.36219	0.25829
0.46567	0.25395
0.57950	0.26022
0.70368	0.25926
0.82786	0.26038
0.92099	0.26167
1.02447	0.26795
1.12795	0.25942
1.22109	0.24863
1.28318	0.25346
1.36596	0.24847
1.41770	0.24364
1.50049	0.25443
1.58327	0.26425
1.66606	0.25668
1.74885	0.24091
1.83163	0.23350
1.93511	0.25411
2.01790	0.24783
2.09034	0.25008
2.14208	0.25121
2.20417	0.24831
2.26625	0.25620
2.34904	0.26232
2.41113	0.24686
2.48357	0.26071
2.54566	0.26296
2.60775	0.25668
2.69053	0.27262
2.78366	0.26908
2.86645	0.26505
2.94924	0.25378
3.04237	0.25169
3.13550	0.25894
3.23899	0.24847
3.35282	0.25555
3.47699	0.26135
3.59082	0.26441
3.73570	0.26167
3.89092	0.25765
4.03580	0.27133
4.20137	0.27278
4.33589	0.26602
4.43938	0.26280
4.53251	0.25185
4.63599	0.24960
4.73947	0.26215
4.84296	0.24944
4.94644	0.25121
5.06027	0.24509
5.18445	0.24493
5.30862	0.25459
5.45350	0.24912
5.65012	0.24751
5.82603	0.25153
6.02265	0.24558
6.22961	0.25443
6.46762	0.25572
6.59180	0.23785
6.73668	0.24928
6.85051	0.25491
6.98503	0.26553
7.07817	0.25668
7.16095	0.26135
7.23339	0.26457
7.31617	0.26264
7.39896	0.25234
7.47140	0.25974
7.55418	0.25411
7.63697	0.26022
7.71975	0.24654
7.81289	0.25926
7.92672	0.25539
8.04055	0.25137
8.14403	0.24461
8.24751	0.24815
8.33030	0.24252
8.44413	0.26409
8.54761	0.27471
8.63040	0.26409
8.71318	0.26425
8.81666	0.27278
8.90980	0.27278
9.01328	0.28115
9.08572	0.25330
9.18920	0.28276
9.27198	0.27680
9.38581	0.25427
9.45825	0.26956
9.54104	0.28099
9.62382	0.27632
9.69626	0.27954
9.77905	0.26924
9.85148	0.27535
9.93427	0.27068
10.00671	0.27101
10.08949	0.26280
10.16193	0.26376
10.23437	0.24960
10.30680	0.25507
10.38959	0.26811
10.45168	0.26570
10.51377	0.25314
10.57586	0.26248
10.64829	0.25958
10.71038	0.25008
10.77247	0.26183
10.84491	0.24670
10.90700	0.25362
10.96909	0.25958
11.03118	0.26215
11.10361	0.25781
11.17605	0.27616
11.25884	0.27310
11.34162	0.27294
11.41406	0.26956
11.49685	0.26714
11.56928	0.26071
11.63137	0.25572
11.68311	0.26392
11.73485	0.25588
11.77625	0.27294
11.81764	0.27680
11.85903	0.27004
11.89008	0.26698
11.92112	0.26022
11.95217	0.25620
11.97286	0.25330
11.99356	0.24719
12.02460	0.27197
12.04530	0.26843
12.06600	0.27294
12.08669	0.27197
12.10739	0.27407
12.12809	0.27149
12.16948	0.27728
12.20052	0.26698
12.23157	0.27745
12.26261	0.27342
12.30401	0.26409
12.34540	0.27616
12.38679	0.26763
12.43853	0.27487
12.50062	0.25282
12.55236	0.25636
12.61445	0.25588
12.67654	0.24558
12.73863	0.25121
12.81107	0.26682
12.87316	0.26666
12.94559	0.26682
13.01803	0.27535
13.08012	0.27986
13.14221	0.26312
13.21465	0.26891
13.29743	0.26135
13.39057	0.24606
13.48370	0.24606
13.57683	0.25942
13.66997	0.24638
13.76310	0.26650
13.86658	0.28115
13.98041	0.27133
14.08389	0.26457
14.19773	0.25169
14.32190	0.26586
14.44608	0.26264
14.54956	0.26103
14.66339	0.25716
14.77722	0.25443
14.89105	0.27680
14.99454	0.28549
15.10837	0.29628
15.25324	0.30143
15.38777	0.31962
15.50160	0.31833
15.62578	0.31688
15.69821	0.35760
15.77065	0.35583
15.87413	0.38062
15.94657	0.39945
16.03970	0.42424
16.14319	0.43663
16.23632	0.46641
16.33980	0.48621
16.43294	0.53047
16.54677	0.58423
16.63990	0.61192
16.73303	0.64202
16.79512	0.68531
16.86756	0.74535
16.92965	0.80088
16.99174	0.84337
17.05383	0.88233
17.11592	0.93045
17.17801	0.96941
17.24009	1.01689
17.30218	1.05375
17.36427	1.10992
17.42636	1.14807
17.47810	1.17543
17.52984	1.20489
17.59193	1.22324
17.66437	1.25157
17.71611	1.26975
17.78855	1.31096
17.84029	1.31547
17.92308	1.33639
17.97482	1.34058
