Black Body Radiation Experiment Tue, Oct 30, 2018 3:39 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.02628
0.00000	-0.02693
0.00000	-0.02886
0.00000	-0.02854
0.00000	-0.02918
0.00000	-0.02757
0.00000	-0.02870
0.00000	-0.03095
0.00000	-0.03047
0.00000	-0.02757
0.00000	-0.02596
0.00000	-0.02870
0.00000	-0.02870
0.00000	-0.03079
0.00000	-0.02789
0.00000	-0.02500
0.00000	-0.03079
0.00000	-0.02548
0.00000	-0.02789
0.00000	-0.03192
0.00000	-0.03208
0.00000	-0.02725
0.00000	-0.02693
0.00000	-0.02419
0.00000	-0.02886
0.00000	-0.02886
0.00000	-0.02677
0.00000	-0.02854
0.01035	-0.02483
0.01035	-0.02918
0.01035	-0.02693
0.01035	-0.02982
0.01035	-0.02918
0.01035	-0.03256
0.01035	-0.02516
0.01035	-0.02757
0.01035	-0.02902
0.01035	-0.02532
0.01035	-0.02693
0.01035	-0.02999
0.01035	-0.02870
0.01035	-0.02838
0.01035	-0.02966
0.01035	-0.02677
0.01035	-0.02709
0.01035	-0.02805
0.01035	-0.03224
0.01035	-0.02677
0.01035	-0.02467
0.01035	-0.02789
0.01035	-0.03095
0.02070	-0.02950
0.02070	-0.03160
0.02070	-0.03031
0.03104	-0.02934
0.03104	-0.02918
0.03104	-0.02982
0.03104	-0.03095
0.04139	-0.02741
0.04139	-0.02950
0.04139	-0.02693
0.05174	-0.03240
0.05174	-0.03160
0.06209	-0.03288
0.07244	-0.02741
0.09313	-0.02838
0.10348	-0.03063
0.12418	-0.02982
0.15522	-0.03031
0.20696	-0.03111
0.30010	-0.02644
0.43462	-0.02773
0.58985	-0.03047
0.75542	-0.02918
0.92099	-0.02934
1.05552	-0.02854
1.19004	-0.03079
1.28318	-0.02677
1.35561	-0.02902
1.42805	-0.03337
1.50049	-0.02822
1.59362	-0.02789
1.65571	-0.02773
1.70745	-0.02854
1.74885	-0.03208
1.80059	-0.03063
1.85233	-0.02886
1.89372	-0.02596
1.94546	-0.03063
1.99720	-0.02902
2.04894	-0.03256
2.09034	-0.02677
2.14208	-0.03192
2.18347	-0.02789
2.21451	-0.02838
2.24556	-0.03208
2.27660	-0.03095
2.30765	-0.03047
2.33869	-0.02870
2.38009	-0.02805
2.41113	-0.03127
2.46287	-0.02918
2.50426	-0.03176
2.55600	-0.02902
2.60775	-0.03095
2.66983	-0.03143
2.75262	-0.03224
2.86645	-0.02902
2.99063	-0.03433
3.13550	-0.02741
3.35282	-0.02805
3.50804	-0.03015
3.69431	-0.02982
3.87023	-0.03031
4.07719	-0.03047
4.24276	-0.03111
4.43938	-0.03095
4.66704	-0.02870
4.85330	-0.03015
5.07062	-0.03031
5.25688	-0.02693
5.45350	-0.03047
5.67081	-0.03160
5.88812	-0.02950
6.08474	-0.02725
6.25031	-0.03401
6.41588	-0.02773
6.55041	-0.03031
6.66424	-0.03047
6.76772	-0.02886
6.86085	-0.02886
6.94364	-0.02612
7.01608	-0.02902
7.11956	-0.03095
7.23339	-0.02854
7.33687	-0.02661
7.45070	-0.02999
7.57488	-0.03224
7.71975	-0.02741
7.85428	-0.02854
8.00950	-0.02999
8.17507	-0.02789
8.33030	-0.02934
8.50622	-0.02789
8.71318	-0.02918
8.89945	-0.02838
9.09606	-0.03143
9.31338	-0.03079
9.50999	-0.02918
9.70661	-0.03063
9.90322	-0.02677
10.08949	-0.02773
10.30680	-0.02934
10.49307	-0.03079
10.70003	-0.02677
10.89665	-0.02612
11.05187	-0.02741
11.18640	-0.02902
11.33127	-0.02580
11.45545	-0.03079
11.55894	-0.03208
11.65207	-0.02822
11.74520	-0.02596
11.83834	-0.02644
11.92112	-0.02773
12.01426	-0.03111
12.10739	-0.02693
12.23157	-0.02966
12.36609	-0.02870
12.47992	-0.02435
12.61445	-0.02870
12.74898	-0.02693
12.90420	-0.02419
13.06977	-0.02580
13.26639	-0.02532
13.45265	-0.02725
13.61823	-0.02854
13.81484	-0.02886
13.92867	-0.02371
14.06320	-0.02757
14.21842	-0.02709
14.33225	-0.02677
14.45643	-0.02693
14.58061	-0.02033
14.70479	-0.01791
14.86001	-0.02081
15.02558	-0.01791
15.13941	-0.01566
15.24289	-0.01695
15.39812	-0.01180
15.50160	-0.00954
15.65682	0.00092
15.85344	0.00188
15.99831	0.00446
16.09144	0.01074
16.22597	0.01798
16.37085	0.02893
16.51572	0.03826
16.65025	0.05436
16.76408	0.06482
16.86756	0.08349
16.98139	0.09910
17.09522	0.11407
17.22975	0.12437
17.37462	0.14514
17.51950	0.16220
17.64367	0.17475
17.77820	0.18135
17.94377	0.19439
18.11969	0.20002
18.32666	0.20405
18.53362	0.20469
18.67849	0.20196
18.84407	0.19809
18.99929	0.18988
19.18556	0.18634
19.36147	0.17797
19.51670	0.16848
19.69262	0.15270
19.89958	0.13532
20.11689	0.12067
20.34455	0.10361
20.58256	0.08719
20.79987	0.07013
21.01719	0.05806
21.20345	0.04550
21.34833	0.03601
21.49320	0.02893
21.61738	0.01573
21.75191	0.01331
21.86574	0.00655
22.00026	0.00736
22.11410	0.00382
22.22793	-0.00246
22.35210	-0.00488
22.47628	-0.00488
22.63150	-0.00729
22.76603	-0.01131
22.93160	-0.01453
23.10752	-0.01389
23.30414	-0.01292
23.52145	-0.01566
23.74911	-0.01614
23.99747	-0.01985
24.24582	-0.01582
24.48383	-0.02033
24.74254	-0.01888
25.01159	-0.01856
25.27029	-0.01840
25.51865	-0.02129
25.74631	-0.01840
25.92223	-0.02596
26.06711	-0.01695
26.19128	-0.02145
26.28442	-0.02081
26.36720	-0.01968
26.42929	-0.02162
26.50173	-0.02387
26.59486	-0.02339
26.67765	-0.02113
26.79148	-0.02290
26.92601	-0.02242
27.06053	-0.02145
27.21576	-0.02081
27.36063	-0.02129
27.53655	-0.02129
27.68142	-0.02226
27.83665	-0.02435
28.02292	-0.02033
28.21953	-0.02290
28.38510	-0.02145
28.56102	-0.02483
28.66450	-0.02500
28.78868	-0.02483
28.90251	-0.02306
29.01634	-0.02387
29.13017	-0.02323
29.25435	-0.02323
29.37853	-0.02162
29.48201	-0.02194
29.62689	-0.01952
29.76141	-0.02274
29.92698	-0.01888
30.08221	-0.02339
30.26847	-0.02451
30.45474	-0.02661
30.69275	-0.02274
30.87902	-0.02258
31.06528	-0.02274
31.26190	-0.02290
31.40678	-0.02033
31.57235	-0.02162
31.73792	-0.02129
31.90349	-0.02129
32.07941	-0.01985
32.24498	-0.02323
32.42090	-0.02145
32.64856	-0.02065
32.87622	-0.02339
33.13492	-0.01695
33.35224	-0.02097
33.64199	-0.01824
33.85930	-0.02049
34.10765	-0.01952
34.33531	-0.01840
34.55263	-0.02532
34.76994	-0.02355
34.97690	-0.02097
35.15282	-0.01952
35.33909	-0.02226
35.54605	-0.01759
35.73232	-0.01566
35.88754	-0.02419
36.03242	-0.01695
36.18764	-0.01791
36.31182	-0.01904
36.41530	-0.02033
36.52913	-0.02017
36.66366	-0.02017
36.78784	-0.02049
36.91202	-0.02033
37.06724	-0.01920
37.21211	-0.02194
37.36734	-0.02435
37.55360	-0.02419
37.71917	-0.02049
37.91579	-0.01952
38.13310	-0.02564
38.41250	-0.02081
38.70225	-0.02435
38.97131	-0.02145
39.23001	-0.02129
39.46802	-0.02178
39.73707	-0.01952
39.96473	-0.02387
40.20274	-0.02339
40.43040	-0.02274
40.59597	-0.02274
40.77189	-0.02290
40.89607	-0.02113
41.03060	-0.02081
41.13408	-0.02210
41.23756	-0.01759
41.34104	-0.02145
41.44453	-0.02323
41.55836	-0.01791
41.67219	-0.01920
41.81706	-0.01695
41.96194	-0.01888
42.10681	-0.01968
42.24134	-0.01824
42.39656	-0.01775
42.53109	-0.01920
42.69666	-0.02274
42.89327	-0.02210
43.05884	-0.02323
43.23476	-0.01936
43.38999	-0.02113
43.52451	-0.02001
43.65904	-0.02145
43.77287	-0.01904
43.88670	-0.01968
44.02123	-0.01856
44.16610	-0.01936
44.31098	-0.02500
44.45585	-0.02001
44.60073	-0.02178
44.76630	-0.02274
44.94222	-0.01936
45.08709	-0.02033
45.24231	-0.01904
45.40788	-0.01663
45.56311	-0.01824
45.68729	-0.01920
45.82181	-0.02097
45.95634	-0.01534
46.08052	-0.01630
46.20470	-0.01872
46.31853	-0.01936
46.42201	-0.02129
46.52549	-0.01888
46.62897	-0.01952
46.74280	-0.01679
46.85663	-0.02033
46.98081	-0.01727
47.09464	-0.01630
47.21882	-0.02162
47.34300	-0.02210
47.47752	-0.02500
47.64309	-0.02001
47.78797	-0.01856
47.93284	-0.01888
48.07772	-0.01856
48.24329	-0.01727
48.39851	-0.01775
48.55374	-0.02001
48.70896	-0.01405
48.85383	-0.01695
49.00906	-0.01743
49.13324	-0.01759
49.27811	-0.01775
49.42298	-0.01872
49.54716	-0.01759
49.69204	-0.02113
49.82656	-0.02113
49.98179	-0.02049
50.09562	-0.01791
50.21980	-0.02194
50.35432	-0.01872
50.49920	-0.02258
50.62338	-0.01840
50.74755	-0.01791
50.84069	-0.01695
50.93382	-0.02194
51.01661	-0.01872
51.09939	-0.01614
51.17183	-0.01405
51.24427	-0.02162
51.31670	-0.01695
51.38914	-0.01791
51.47193	-0.01759
51.55471	-0.01807
51.63750	-0.01711
51.73063	-0.01486
51.82377	-0.01647
51.91690	-0.02065
52.02038	-0.01920
52.13421	-0.01968
52.24804	-0.01775
52.38257	-0.01598
52.50675	-0.01904
52.65162	-0.02001
52.79650	-0.02274
52.95172	-0.01985
53.12764	-0.01695
53.29321	-0.01856
53.46913	-0.01341
53.65540	-0.02081
53.83132	-0.01775
54.03828	-0.01405
54.22455	-0.01679
54.41082	-0.01598
54.60743	-0.01550
54.79370	-0.01486
54.99031	-0.01824
55.18693	-0.01872
55.37320	-0.01727
55.52842	-0.01920
55.67330	-0.01421
55.81817	-0.01840
55.94235	-0.01824
56.02513	-0.01807
56.13896	-0.02017
56.23210	-0.01695
56.34593	-0.01550
56.48045	-0.01502
56.62533	-0.02258
56.75986	-0.01872
56.90473	-0.01904
57.05995	-0.01840
57.21518	-0.01872
57.34970	-0.01260
57.51527	-0.01647
57.70154	-0.01550
57.91885	-0.01566
58.12582	-0.01212
58.28104	-0.01727
58.41557	-0.01727
58.52940	-0.01904
58.64323	-0.01775
58.77775	-0.01566
58.90193	-0.01518
59.01576	-0.01743
59.12959	-0.01904
59.24342	-0.01679
59.34690	-0.01437
59.47108	-0.01968
59.56422	-0.01872
59.66770	-0.01807
59.76083	-0.01373
59.87466	-0.01647
59.96780	-0.01807
60.08163	-0.01453
60.20580	-0.01775
60.32998	-0.01115
60.44381	-0.01711
60.55764	-0.01534
60.68182	-0.01550
60.78530	-0.01904
60.87844	-0.01566
60.98192	-0.01469
