Black Body Radiation Experiment Tue, Oct 30, 2018 3:29 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	0.20920
0.00000	0.22320
0.00000	0.22401
0.00000	0.22803
0.00000	0.23640
0.00000	0.22385
0.00000	0.22127
0.00000	0.23946
0.00000	0.21918
0.00000	0.21902
0.00000	0.21950
0.00000	0.23109
0.00000	0.24348
0.00000	0.23286
0.00000	0.22948
0.00000	0.22996
0.00000	0.20759
0.00000	0.22867
0.00000	0.23222
0.00000	0.24284
0.00000	0.21515
0.00000	0.22755
0.01035	0.22433
0.01035	0.23962
0.01035	0.23688
0.01035	0.21676
0.01035	0.21387
0.01035	0.22626
0.01035	0.23061
0.01035	0.22352
0.01035	0.22095
0.01035	0.23978
0.01035	0.21789
0.01035	0.22224
0.01035	0.22191
0.01035	0.23801
0.01035	0.24284
0.01035	0.21451
0.02070	0.23045
0.02070	0.23495
0.03104	0.23399
0.03104	0.22723
0.04139	0.20469
0.04139	0.21499
0.05174	0.21982
0.05174	0.22497
0.06209	0.23399
0.06209	0.24155
0.07244	0.22465
0.08279	0.22674
0.10348	0.21467
0.13453	0.22916
0.21731	0.22336
0.34149	0.21902
0.49671	0.22385
0.65194	0.21966
0.78646	0.23785
0.93134	0.23302
1.09691	0.24332
1.27283	0.23431
1.41770	0.22143
1.56258	0.23093
1.67641	0.22900
1.79024	0.23141
1.90407	0.21886
2.01790	0.22884
2.12138	0.23366
2.24556	0.22562
2.39043	0.24187
2.54566	0.22497
2.72158	0.23334
2.85610	0.22884
3.00098	0.23511
3.13550	0.22497
3.24933	0.23012
3.36316	0.22867
3.44595	0.22433
3.50804	0.22642
3.55978	0.24332
3.59082	0.23350
3.61152	0.22304
3.62187	0.22867
3.64257	0.22884
3.65291	0.22304
3.67361	0.22948
3.69431	0.22932
3.71500	0.23318
3.75640	0.24397
3.79779	0.25668
3.83918	0.23962
3.92197	0.24155
3.98406	0.23495
4.04614	0.23898
4.12893	0.24912
4.22206	0.24075
4.30485	0.25024
4.40833	0.25073
4.51181	0.23753
4.60495	0.24171
4.68773	0.24268
4.79121	0.23527
4.87400	0.24493
4.95679	0.24139
5.04992	0.23527
5.15340	0.23399
5.24654	0.21853
5.31897	0.23012
5.39141	0.22916
5.46385	0.23898
5.53628	0.22127
5.60872	0.22851
5.68116	0.22111
5.74325	0.22690
5.81569	0.24300
5.88812	0.22723
5.95021	0.23028
6.01230	0.22159
6.08474	0.23383
6.14683	0.22996
6.19857	0.23737
6.25031	0.22803
6.31240	0.23817
6.37449	0.24187
6.42623	0.22787
6.47797	0.22578
6.54006	0.22884
6.60215	0.23061
6.66424	0.23173
6.73668	0.23447
6.80911	0.23318
6.90225	0.24316
6.98503	0.23238
7.06782	0.25137
7.16095	0.25572
7.25409	0.24091
7.33687	0.22835
7.41966	0.23350
7.50244	0.23157
7.58523	0.22256
7.66801	0.23093
7.75080	0.24316
7.81289	0.22369
7.87498	0.24284
7.92672	0.24976
7.97846	0.24702
8.03020	0.24380
