Black Body Radiation Experiment Tue, Oct 30, 2018 3:21 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.15553
0.00000	-0.13348
0.00000	-0.12109
0.00000	-0.12495
0.00000	-0.12479
0.00000	-0.12962
0.00000	-0.13445
0.00000	-0.13348
0.00000	-0.11111
0.00000	-0.13348
0.00000	-0.13171
0.00000	-0.13075
0.00000	-0.14024
0.00000	-0.13155
0.00000	-0.14459
0.00000	-0.13831
0.00000	-0.12189
0.00000	-0.12560
0.00000	-0.12849
0.00000	-0.13413
0.00000	-0.12044
0.00000	-0.12141
0.00000	-0.12238
0.00000	-0.13284
0.00000	-0.12012
0.00000	-0.11368
0.00000	-0.13219
0.00000	-0.13058
0.00000	-0.12640
0.01035	-0.11079
0.01035	-0.13976
0.01035	-0.13364
0.01035	-0.13091
0.01035	-0.10548
0.01035	-0.12447
0.02070	-0.12511
0.02070	-0.11867
0.02070	-0.12769
0.02070	-0.13718
0.02070	-0.14523
0.02070	-0.11352
0.03104	-0.13236
0.03104	-0.13219
0.04139	-0.14217
0.04139	-0.11835
0.05174	-0.12125
0.06209	-0.13058
0.07244	-0.12978
0.09313	-0.13477
0.11383	-0.13284
0.13453	-0.13026
0.15522	-0.13091
0.19662	-0.12624
0.25870	-0.12479
0.33114	-0.11594
0.34149	-0.12704
0.40358	-0.12093
0.48637	-0.12576
0.57950	-0.12382
0.67263	-0.12849
0.75542	-0.13010
0.81751	-0.12028
0.86925	-0.10692
0.92099	-0.11771
0.96238	-0.13026
0.98308	-0.12447
1.00378	-0.12849
1.02447	-0.13767
1.04517	-0.14137
1.06586	-0.13638
1.08656	-0.13042
1.11761	-0.13541
1.13830	-0.13912
1.17969	-0.13574
1.22109	-0.14362
1.26248	-0.12704
1.32457	-0.12125
1.38666	-0.12157
1.44875	-0.12254
1.52118	-0.12093
1.58327	-0.12189
1.63501	-0.12463
1.70745	-0.14282
1.79024	-0.14652
1.86268	-0.13461
1.96616	-0.14153
2.04894	-0.14024
2.13173	-0.13847
2.23521	-0.13606
2.34904	-0.14443
2.48357	-0.14217
2.61809	-0.14040
2.76297	-0.12479
2.88715	-0.11385
3.01133	-0.13091
3.13550	-0.13670
3.24933	-0.13429
3.37351	-0.14588
3.47699	-0.15087
3.57013	-0.15425
3.65291	-0.13976
3.74605	-0.14137
3.83918	-0.13413
3.91162	-0.13767
4.00475	-0.11787
4.07719	-0.13429
4.14963	-0.13300
4.22206	-0.14217
4.29450	-0.12205
4.34624	-0.13686
4.39798	-0.12624
4.46007	-0.11127
4.50147	-0.12560
4.55321	-0.12640
4.60495	-0.12672
4.65669	-0.11594
4.70843	-0.12914
4.76017	-0.12044
4.80156	-0.12592
