Black Body Radiation Experiment Tue, Oct 30, 2018 3:26 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	0.12872
0.00000	0.13757
0.00000	0.13484
0.00000	0.13323
0.00000	0.13468
0.00000	0.14015
0.00000	0.12341
0.00000	0.13628
0.00000	0.13693
0.00000	0.12453
0.00000	0.12969
0.00000	0.12132
0.00000	0.12840
0.00000	0.12840
0.00000	0.13693
0.00000	0.11488
0.00000	0.12711
0.00000	0.14916
0.00000	0.13371
0.00000	0.12840
0.00000	0.13371
0.00000	0.13564
0.00000	0.13339
0.00000	0.12969
0.00000	0.12566
0.00000	0.13918
0.00000	0.12148
0.00000	0.12969
0.00000	0.14868
0.00000	0.14015
0.00000	0.13162
0.00000	0.13596
0.00000	0.12598
0.00000	0.13484
0.00000	0.12920
0.00000	0.11987
0.00000	0.14852
0.00000	0.13355
0.00000	0.13612
0.00000	0.13065
0.00000	0.13226
0.00000	0.13210
0.00000	0.13838
0.00000	0.12083
0.00000	0.14288
0.00000	0.14626
0.00000	0.14964
0.00000	0.13258
0.00000	0.13290
0.00000	0.14900
0.00000	0.13081
0.00000	0.12437
0.00000	0.12083
0.00000	0.13548
0.00000	0.12132
0.00000	0.14111
0.00000	0.14530
0.00000	0.12421
0.00000	0.13532
0.00000	0.13902
0.00000	0.13097
0.00000	0.14675
0.00000	0.10586
0.00000	0.13918
0.00000	0.15995
0.00000	0.13966
0.00000	0.13548
0.01035	0.11906
0.01035	0.13355
0.01035	0.13661
0.01035	0.14095
0.01035	0.12743
0.01035	0.12647
0.01035	0.14079
0.01035	0.14063
0.01035	0.12502
0.01035	0.12647
0.01035	0.14691
0.01035	0.13870
0.01035	0.11874
0.01035	0.11906
0.01035	0.12727
0.01035	0.12856
0.01035	0.11874
0.01035	0.11600
0.02070	0.12840
0.02070	0.12614
0.02070	0.13983
0.02070	0.12196
0.02070	0.13870
0.02070	0.13999
0.02070	0.13838
0.03104	0.13162
0.03104	0.12003
0.04139	0.14659
0.05174	0.13661
0.06209	0.13484
0.08279	0.13693
0.11383	0.14079
0.20696	0.12373
0.35184	0.11681
0.51741	0.11343
0.66228	0.12260
0.80716	0.12791
0.94169	0.13339
1.06586	0.12985
1.15900	0.13677
1.21074	0.14224
1.24178	0.14144
1.26248	0.14964
1.27283	0.13290
1.27283	0.12502
1.28318	0.12341
1.29352	0.13081
1.31422	0.11922
1.34527	0.12598
1.36596	0.13242
1.39701	0.14578
1.43840	0.12888
1.47979	0.10989
1.52118	0.11890
1.55223	0.12904
1.59362	0.11504
1.63501	0.12180
1.67641	0.13242
1.72815	0.12470
1.77989	0.12051
1.82128	0.12357
1.87302	0.12743
1.94546	0.13210
2.01790	0.12148
2.11103	0.13500
2.21451	0.13645
2.32834	0.13017
2.46287	0.13612
2.60775	0.13822
2.75262	0.13129
2.91819	0.14304
3.06307	0.13532
3.22864	0.13468
3.40456	0.13580
3.59082	0.13886
3.70465	0.15286
3.80814	0.13983
3.91162	0.13580
4.00475	0.13049
4.08754	0.13822
4.15997	0.14111
4.21172	0.13950
4.25311	0.13451
4.30485	0.14256
4.35659	0.14643
4.40833	0.14932
4.48077	0.14465
4.57390	0.14176
4.68773	0.12325
4.83261	0.12775
4.95679	0.12164
5.10166	0.12614
5.23619	0.12856
5.37071	0.13323
5.49489	0.12099
5.66046	0.12244
5.83638	0.13484
5.99161	0.12566
6.15718	0.12470
6.33310	0.11906
6.48832	0.13902
6.63319	0.13323
6.75737	0.13693
6.89190	0.13773
7.00573	0.14675
7.09886	0.14675
7.19200	0.14144
7.26443	0.12936
7.32652	0.12309
7.39896	0.13081
7.45070	0.12534
7.50244	0.13661
7.55418	0.12985
7.60592	0.12920
7.65767	0.14884
7.69906	0.14691
7.76115	0.14787
