Black Body Radiation Experiment Tue, Oct 30, 2018 3:32 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	0.21371
0.00000	0.24606
0.00000	0.24300
0.00000	0.22562
0.00000	0.22079
0.00000	0.22352
0.00000	0.23704
0.00000	0.23189
0.00000	0.22707
0.00000	0.23141
0.00000	0.23350
0.00000	0.22771
0.00000	0.23463
0.00000	0.22352
0.00000	0.23270
0.00000	0.23350
0.00000	0.24413
0.00000	0.22658
0.00000	0.22948
0.00000	0.24976
0.00000	0.24445
0.00000	0.21837
0.00000	0.22513
0.00000	0.23125
0.00000	0.23366
0.00000	0.22272
0.00000	0.23205
0.00000	0.23205
0.00000	0.22674
0.00000	0.23173
0.00000	0.23833
0.00000	0.24429
0.00000	0.22916
0.00000	0.23238
0.00000	0.25700
0.00000	0.23640
0.01035	0.23093
0.01035	0.23383
0.01035	0.23785
0.01035	0.25234
0.02070	0.23656
0.02070	0.22369
0.03104	0.23238
0.03104	0.24026
0.04139	0.23753
0.05174	0.25169
0.06209	0.23994
0.07244	0.22385
0.08279	0.23318
0.10348	0.23399
0.12418	0.22884
0.15522	0.24638
0.19662	0.24686
0.27940	0.24091
0.39323	0.24606
0.52776	0.23028
0.67263	0.23350
0.79681	0.23592
0.93134	0.23479
1.05552	0.21982
1.16935	0.23479
1.27283	0.22465
1.36596	0.21902
1.43840	0.23254
1.49014	0.24332
1.55223	0.23527
1.60397	0.23898
1.66606	0.25475
1.71780	0.23479
1.77989	0.23704
1.85233	0.23753
1.92476	0.24815
2.01790	0.24284
2.11103	0.24863
2.20417	0.23222
2.31800	0.22771
2.43183	0.22642
2.54566	0.23012
2.61809	0.22578
2.69053	0.24284
2.76297	0.24075
2.83541	0.24107
2.91819	0.25057
2.98028	0.25137
3.05272	0.25523
3.12516	0.24831
3.20794	0.25395
3.29073	0.22578
3.37351	0.23656
3.44595	0.23704
3.53908	0.23769
3.61152	0.24203
3.68396	0.24912
3.75640	0.24541
3.82883	0.24059
3.91162	0.24719
3.98406	0.23302
4.05649	0.23721
4.12893	0.24236
4.19102	0.24944
4.27380	0.24348
4.35659	0.25475
4.43938	0.23704
4.52216	0.25620
4.62564	0.24799
4.71878	0.25105
4.80156	0.24429
4.87400	0.25491
4.95679	0.25427
5.02922	0.25604
5.09131	0.24413
5.17410	0.24574
5.26723	0.25330
5.35002	0.23769
5.45350	0.22642
5.55698	0.23495
5.67081	0.23592
5.80534	0.22996
5.96056	0.24831
6.11578	0.23721
6.28136	0.24171
6.41588	0.23495
6.54006	0.23930
