Black Body Radiation Experiment Tue, Oct 30, 2018 3:19 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	0.06289
0.00000	0.05758
0.00000	0.07850
0.00000	0.08703
0.00000	0.07335
0.00000	0.07931
0.00000	0.05854
0.00000	0.06466
0.00000	0.08365
0.00000	0.08317
0.00000	0.05854
0.00000	0.07271
0.00000	0.06804
0.00000	0.07576
0.00000	0.08430
0.00000	0.06337
0.00000	0.07367
0.00000	0.08446
0.00000	0.08639
0.00000	0.06836
0.00000	0.07689
0.00000	0.08912
0.00000	0.07351
0.00000	0.07367
0.00000	0.07061
0.00000	0.08671
0.00000	0.09202
0.00000	0.06514
0.00000	0.06659
0.00000	0.07094
0.00000	0.09444
0.00000	0.07802
0.00000	0.08558
0.00000	0.07158
0.00000	0.08075
0.00000	0.08719
0.00000	0.08027
0.00000	0.06192
0.00000	0.07705
0.00000	0.07335
0.00000	0.07238
0.00000	0.08478
0.00000	0.08542
0.00000	0.08768
0.00000	0.06739
0.00000	0.07786
0.00000	0.08413
0.00000	0.08446
0.00000	0.08719
0.00000	0.08011
0.01035	0.08333
0.01035	0.09315
0.01035	0.08204
0.01035	0.07222
0.01035	0.07947
0.01035	0.08204
0.02070	0.10055
0.03104	0.09106
0.03104	0.09556
0.04139	0.09910
0.05174	0.08719
0.06209	0.05886
0.06209	0.08574
0.07244	0.07705
0.08279	0.09605
0.09313	0.08317
0.11383	0.06611
0.17592	0.07319
0.33114	0.06434
0.53811	0.08285
0.68298	0.07609
0.84855	0.08542
0.99343	0.07077
1.11761	0.07496
1.23144	0.09524
1.31422	0.08220
1.37631	0.07255
1.41770	0.06080
1.44875	0.09283
1.49014	0.07399
1.54188	0.08880
1.59362	0.07641
1.66606	0.10184
1.73850	0.08655
1.82128	0.09186
1.89372	0.09862
1.96616	0.09540
2.02825	0.08043
2.09034	0.07415
2.15242	0.08043
2.22486	0.08075
2.30765	0.08333
2.38009	0.08816
2.48357	0.09749
2.56635	0.09299
2.64914	0.10297
2.73192	0.10490
2.84575	0.09605
2.95958	0.09025
3.05272	0.09653
3.14585	0.09637
3.22864	0.09830
3.33212	0.10409
3.41490	0.08848
3.51839	0.08687
3.61152	0.07882
3.70465	0.08124
3.80814	0.08059
3.92197	0.06916
4.02545	0.09057
4.12893	0.09331
4.23241	0.09669
4.32555	0.09605
4.42903	0.09910
4.54286	0.08590
4.64634	0.10425
4.74982	0.09041
4.85330	0.10876
4.94644	0.09138
