Black Body Radiation Experiment Tue, Oct 30, 2018 3:37 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.03272
0.00000	-0.02902
0.00000	-0.02838
0.00000	-0.02822
0.00000	-0.03063
0.00000	-0.02966
0.00000	-0.02902
0.00000	-0.02451
0.00000	-0.02902
0.00000	-0.02741
0.00000	-0.02805
0.00000	-0.02870
0.00000	-0.03079
0.00000	-0.02854
0.00000	-0.03095
0.00000	-0.02999
0.00000	-0.03111
0.00000	-0.03111
0.00000	-0.02773
0.00000	-0.03176
0.00000	-0.02902
0.00000	-0.02966
0.00000	-0.02822
0.00000	-0.03015
0.00000	-0.02725
0.00000	-0.03337
0.00000	-0.02516
0.00000	-0.02532
0.00000	-0.02805
0.00000	-0.02709
0.00000	-0.02918
0.01035	-0.02902
0.01035	-0.02548
0.01035	-0.02854
0.01035	-0.02950
0.01035	-0.02918
0.02070	-0.02532
0.02070	-0.02870
0.02070	-0.02886
0.02070	-0.02628
0.02070	-0.02789
0.03104	-0.03047
0.03104	-0.03111
0.03104	-0.03063
0.03104	-0.03047
0.04139	-0.02612
0.04139	-0.02934
0.05174	-0.02741
0.05174	-0.02982
0.05174	-0.02693
0.06209	-0.02580
0.07244	-0.02355
0.07244	-0.02725
0.10348	-0.02886
0.11383	-0.03015
0.15522	-0.02677
0.21731	-0.02773
0.31045	-0.03143
0.43462	-0.03272
0.56915	-0.02805
0.73472	-0.03272
0.88994	-0.02966
1.01412	-0.03353
1.11761	-0.03304
1.21074	-0.02934
1.26248	-0.02966
1.30387	-0.02902
1.33492	-0.03047
1.36596	-0.02982
1.38666	-0.02628
1.40735	-0.03079
1.43840	-0.02886
1.46944	-0.02644
1.50049	-0.02741
1.54188	-0.02564
1.57293	-0.02661
1.60397	-0.02854
1.63501	-0.02870
1.64536	-0.02789
1.66606	-0.02886
1.66606	-0.03063
1.68676	-0.03208
1.69710	-0.02918
1.70745	-0.02757
1.71780	-0.02709
1.72815	-0.02580
1.74885	-0.02805
1.76954	-0.02773
1.77989	-0.02773
1.81093	-0.02934
1.82128	-0.02500
1.85233	-0.02709
1.87302	-0.03031
1.91442	-0.02564
1.96616	-0.02854
2.01790	-0.02677
2.06964	-0.02886
2.12138	-0.02982
2.17312	-0.03063
2.21451	-0.03353
2.25591	-0.03256
2.27660	-0.03063
2.31800	-0.02725
2.33869	-0.02982
2.35939	-0.03063
2.38009	-0.02902
2.40078	-0.02757
2.43183	-0.02644
2.44217	-0.02822
2.46287	-0.02982
2.48357	-0.03015
2.50426	-0.03208
2.52496	-0.03208
2.54566	-0.02886
2.56635	-0.02870
2.59740	-0.02741
2.62844	-0.02950
2.66983	-0.03111
2.72158	-0.03031
2.77332	-0.02757
2.83541	-0.02757
2.88715	-0.02950
2.93889	-0.03015
3.02167	-0.03353
3.10446	-0.02999
3.19759	-0.03256
3.28038	-0.03272
3.37351	-0.02709
3.46665	-0.02950
3.54943	-0.02725
3.64257	-0.03192
3.73570	-0.03079
3.81848	-0.03031
3.91162	-0.03079
3.99440	-0.02999
4.07719	-0.02789
4.18067	-0.02982
4.28415	-0.02999
4.39798	-0.02886
4.53251	-0.03320
4.66704	-0.02950
4.80156	-0.03127
4.94644	-0.02902
5.09131	-0.02709
5.24654	-0.02741
5.40176	-0.03111
5.57768	-0.02886
5.73290	-0.02854
5.88812	-0.02612
6.04335	-0.02564
6.16752	-0.02789
6.27101	-0.02757
6.38484	-0.03111
