Black Body Radiation Experiment Tue, Oct 30, 2018 3:16 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	0.41587
0.00000	0.42005
0.00000	0.40959
0.00000	0.40428
0.00000	0.40782
0.00000	0.40653
0.00000	0.41362
0.00000	0.42022
0.00000	0.40299
0.00000	0.38561
0.00000	0.39140
0.00000	0.40847
0.00000	0.41973
0.00000	0.41973
0.00000	0.41249
0.00000	0.40138
0.00000	0.40991
0.00000	0.40525
0.00000	0.38851
0.00000	0.41007
0.00000	0.41893
0.00000	0.40573
0.00000	0.40605
0.00000	0.39221
0.00000	0.41426
0.00000	0.41201
0.00000	0.40203
0.00000	0.42134
0.00000	0.40219
0.00000	0.41764
0.00000	0.41989
0.00000	0.40525
0.00000	0.39977
0.00000	0.40412
0.00000	0.42360
0.01035	0.40267
0.01035	0.40444
0.01035	0.38931
0.01035	0.41893
0.01035	0.41185
0.01035	0.40975
0.01035	0.40235
0.01035	0.40058
0.01035	0.41281
0.01035	0.40734
0.01035	0.38738
0.02070	0.39688
0.02070	0.42022
0.02070	0.42311
0.02070	0.40428
0.02070	0.39301
0.03104	0.41490
0.03104	0.41442
0.03104	0.41265
0.04139	0.40734
0.04139	0.39527
0.05174	0.40525
0.05174	0.41346
0.06209	0.40959
0.06209	0.40830
0.07244	0.41587
0.08279	0.41088
0.10348	0.40669
0.12418	0.38545
0.16557	0.38754
0.22766	0.39704
0.31045	0.39736
0.41393	0.39317
0.53811	0.38690
0.65194	0.39366
0.79681	0.40348
0.91064	0.40525
1.02447	0.40669
1.14865	0.40830
1.23144	0.39913
1.29352	0.39639
1.34527	0.39704
1.37631	0.38931
1.40735	0.38448
1.43840	0.39993
1.47979	0.39752
1.51084	0.38786
1.55223	0.40331
1.60397	0.39865
1.66606	0.40074
1.73850	0.40251
1.82128	0.39688
1.91442	0.41523
2.00755	0.40525
2.12138	0.40154
2.23521	0.39559
2.36974	0.39446
2.50426	0.41040
2.64914	0.40283
2.77332	0.39446
2.89749	0.39977
3.02167	0.38223
3.11481	0.38947
3.24933	0.38336
3.35282	0.37756
3.45630	0.38738
3.58048	0.38690
3.66326	0.38915
3.75640	0.38899
3.84953	0.39865
3.93231	0.39092
4.00475	0.41136
4.07719	0.39849
4.13928	0.40251
4.21172	0.40396
4.28415	0.39961
4.33589	0.38545
4.37729	0.38883
4.42903	0.38996
4.47042	0.37676
4.51181	0.38996
4.55321	0.39672
4.59460	0.39044
4.63599	0.41780
4.67738	0.40975
4.71878	0.40171
4.76017	0.40814
4.79121	0.40154
4.83261	0.40299
4.87400	0.40444
4.91539	0.41056
4.97748	0.40589
5.03957	0.40766
5.11201	0.40525
5.18445	0.39269
5.25688	0.38336
5.35002	0.39720
5.45350	0.37821
5.54663	0.39543
5.63977	0.40074
5.74325	0.39639
5.84673	0.39494
5.96056	0.39800
6.07439	0.39881
6.19857	0.39897
6.31240	0.40235
6.40553	0.40863
6.50902	0.41104
6.62285	0.40541
6.69528	0.39849
6.76772	0.39189
6.82981	0.39929
6.89190	0.40509
6.97468	0.40653
7.04712	0.41925
7.11956	0.41442
7.19200	0.41619
7.27478	0.39688
7.35757	0.40364
7.45070	0.39124
7.55418	0.38545
7.65767	0.39221
7.76115	0.39575
7.86463	0.40653
7.97846	0.39816
8.08194	0.41104
8.18542	0.41651
8.28891	0.39623
8.38204	0.40026
8.45448	0.41329
8.53726	0.42166
8.62005	0.42086
8.71318	0.41104
8.78562	0.40058
8.84771	0.42086
8.90980	0.41120
8.97189	0.41458
9.03398	0.40621
9.08572	0.41458
9.13746	0.42231
9.18920	0.41667
9.24094	0.41941
9.28233	0.41088
9.32372	0.41040
9.36512	0.40331
9.40651	0.40943
9.43755	0.40380
9.46860	0.40380
9.49964	0.41072
