Black Body Radiation Experiment Tue, Oct 30, 2018 2:51 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	1.32416
0.00000	1.33365
0.00000	1.33816
0.00000	1.34251
0.00000	1.31595
0.00000	1.31273
0.00000	1.32657
0.00000	1.32094
0.00000	1.32030
0.00000	1.33462
0.00000	1.33784
0.00000	1.33140
0.00000	1.32046
0.00000	1.33848
0.00000	1.33349
0.00000	1.31836
0.00000	1.32706
0.00000	1.33800
0.00000	1.32931
0.00000	1.31563
0.00000	1.30935
0.00000	1.32046
0.00000	1.34412
0.00000	1.33140
0.00000	1.30967
0.00000	1.31740
0.00000	1.32174
0.00000	1.33172
0.00000	1.31772
0.00000	1.31305
0.00000	1.29808
0.00000	1.33156
0.00000	1.33140
0.00000	1.31724
0.00000	1.29744
-0.01035	1.32931
-0.01035	1.33816
-0.01035	1.33092
-0.01035	1.31434
-0.01035	1.29454
-0.01035	1.32738
-0.01035	1.33494
-0.01035	1.32046
-0.01035	1.32271
-0.01035	1.29728
-0.01035	1.33398
-0.01035	1.31788
-0.01035	1.30259
-0.01035	1.30838
-0.01035	1.32963
-0.01035	1.31869
-0.01035	1.30887
-0.01035	1.30935
-0.01035	1.32368
-0.01035	1.31756
-0.02070	1.30677
-0.02070	1.30951
-0.02070	1.31128
-0.02070	1.32786
-0.02070	1.33478
-0.02070	1.30597
-0.02070	1.30195
-0.02070	1.31257
-0.02070	1.33478
-0.02070	1.32190
-0.02070	1.31482
-0.02070	1.29132
-0.02070	1.31434
-0.02070	1.32174
-0.02070	1.33011
-0.02070	1.32335
-0.02070	1.32142
-0.02070	1.30001
-0.02070	1.29567
-0.02070	1.30597
-0.02070	1.31547
-0.02070	1.30822
-0.02070	1.30001
-0.02070	1.28987
-0.02070	1.32496
-0.02070	1.31386
0.00000	1.31015
0.00000	1.31225
0.00000	1.29969
0.00000	1.30677
0.00000	1.29663
0.00000	1.30146
0.00000	1.31498
0.00000	1.31659
0.00000	1.29824
0.00000	1.28295
0.00000	1.30806
0.00000	1.31917
0.01035	1.31386
0.01035	1.30114
0.01035	1.30001
0.01035	1.28682
0.01035	1.28698
0.01035	1.30195
0.01035	1.30806
0.01035	1.29696
0.01035	1.28167
0.01035	1.30388
0.02070	1.30597
0.02070	1.31386
0.02070	1.29567
0.02070	1.28585
0.02070	1.29116
0.02070	1.30694
0.02070	1.31386
0.02070	1.29873
0.02070	1.28440
0.02070	1.28553
0.02070	1.28923
0.02070	1.30275
0.03104	1.29840
0.03104	1.28746
0.03104	1.27845
0.03104	1.28810
0.03104	1.29245
0.04139	1.29937
0.04139	1.27925
