Black Body Radiation Experiment Tue, Oct 30, 2018 3:24 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.00777
-0.01035	-0.00954
-0.01035	0.00494
-0.02070	-0.00327
-0.03104	0.00446
-0.04139	-0.00472
-0.04139	0.00559
-0.04139	-0.00488
-0.04139	-0.01421
-0.04139	0.00060
-0.04139	0.00027
-0.04139	0.01219
-0.04139	0.01911
-0.04139	0.01090
-0.04139	-0.00311
-0.04139	0.00671
-0.04139	0.00623
-0.04139	0.00977
-0.04139	0.00430
-0.04139	-0.00005
-0.04139	0.00333
-0.04139	0.01042
-0.04139	0.00623
-0.04139	-0.00085
-0.04139	-0.00423
-0.04139	0.01653
-0.04139	0.00044
-0.04139	-0.00842
-0.04139	0.02587
-0.04139	0.02168
-0.04139	0.02056
-0.04139	0.00703
-0.04139	0.01009
-0.04139	0.02233
-0.04139	0.00382
-0.04139	0.02217
-0.04139	-0.00697
-0.04139	0.02184
-0.04139	0.03247
-0.04139	0.01524
-0.04139	0.00703
-0.04139	-0.00037
-0.04139	0.02184
-0.04139	0.02490
-0.04139	0.01782
-0.04139	0.01428
-0.04139	0.00993
-0.04139	0.01428
-0.04139	0.00720
-0.04139	0.00205
-0.04139	0.02120
-0.04139	0.02699
-0.04139	0.00736
-0.04139	0.00140
-0.04139	0.01621
-0.04139	0.01734
-0.04139	0.02651
-0.04139	0.00140
-0.04139	0.00623
-0.04139	0.00526
-0.04139	0.01154
-0.04139	0.01621
-0.04139	0.00623
-0.04139	0.01959
-0.04139	0.02217
-0.04139	0.02329
-0.04139	0.01363
-0.04139	0.01202
-0.04139	0.02329
-0.04139	0.01991
-0.04139	0.01122
-0.04139	0.00703
-0.04139	0.01798
-0.04139	0.02973
-0.04139	0.02120
-0.04139	-0.00713
-0.04139	0.01138
-0.04139	0.01959
-0.04139	0.01058
-0.04139	-0.00874
-0.04139	0.02168
-0.04139	0.02522
-0.04139	0.01766
-0.04139	0.00848
-0.04139	-0.00536
-0.04139	0.00623
-0.04139	0.01524
-0.04139	0.02007
-0.04139	0.01396
-0.04139	0.00269
-0.04139	0.00559
-0.04139	0.01396
-0.04139	0.01074
-0.04139	0.01895
-0.04139	0.00703
-0.04139	-0.00649
-0.04139	0.00575
-0.04139	0.01959
-0.04139	0.01219
-0.04139	0.00044
-0.04139	0.00575
-0.04139	0.01025
-0.04139	0.01508
-0.04139	0.00205
-0.04139	0.00639
-0.04139	-0.00810
-0.04139	0.01846
-0.04139	-0.00101
-0.04139	0.00060
-0.03104	0.01766
-0.03104	0.00816
-0.03104	0.00446
-0.03104	-0.01518
-0.03104	-0.00423
-0.03104	0.01042
-0.03104	0.01074
-0.02070	0.00349
-0.02070	0.00060
-0.02070	-0.00504
-0.02070	0.01042
-0.02070	0.02152
-0.02070	-0.01003
-0.02070	-0.00133
-0.01035	0.00446
-0.01035	0.00172
0.00000	0.00076
0.00000	0.00349
0.00000	0.00945
0.01035	0.00076
0.01035	-0.00665
0.01035	-0.00874
0.02070	0.01508
0.02070	0.02152
0.02070	0.00124
0.02070	-0.00906
0.03104	-0.01067
0.03104	0.00687
0.03104	0.00478
0.04139	0.00993
0.05174	-0.01276
0.05174	-0.01115
